,sna,tot,sbi,sarea,mday,ar,bemp,act
82,YouBike2.0_龍門廣場,50,0,大安區,2023-06-04 08:57:04,敦化南路一段與敦化南路一段236巷口,49,1
88,YouBike2.0_昌隆公園,16,3,大安區,2023-06-04 09:13:14,市民大道三段206號西側,13,1
90,YouBike2.0_信義延吉街口,15,3,大安區,2023-06-04 09:16:15,信義路四段353號,12,1
92,YouBike2.0_僑安地下停車場(2號出口)東南側,20,1,大安區,2023-06-04 08:59:13,光復南路290巷5號,19,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,0,大安區,2023-06-04 09:14:04,新生南路一段101號,15,1
96,YouBike2.0_大安高工,23,0,大安區,2023-06-04 08:58:04,復興南路二段52號(前),23,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,1,大安區,2023-06-04 09:08:04,忠孝東路三段與10巷口,22,1
99,YouBike2.0_敦化市民路口,23,2,大安區,2023-06-04 09:18:13,敦化南路1段158號(前),21,1
104,YouBike2.0_捷運忠孝復興站(5號出口),41,1,大安區,2023-06-04 09:17:15,復興南路一段135巷3號(對面),40,1
105,YouBike2.0_捷運忠孝敦化站(2號出口),17,2,大安區,2023-06-04 09:10:20,忠孝東路四段221號,15,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,2,大安區,2023-06-04 09:18:13,忠孝東路四段143號,16,1
108,YouBike2.0_樂利路21巷口,17,3,大安區,2023-06-04 08:37:14,樂利路25號,14,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,3,大安區,2023-06-04 09:14:14,和平東路二段134號前,43,1
111,YouBike2.0_仁愛醫院,30,3,大安區,2023-06-04 09:02:15,仁愛路四段/大安路一段口(西南側),27,1
114,YouBike2.0_仁愛延吉街口,25,1,大安區,2023-06-04 09:17:15,仁愛路四段376號前,24,1
117,YouBike2.0_復興南路二段128巷口,28,0,大安區,2023-06-04 09:10:09,復興南路二段142之1號前,28,1
118,YouBike2.0_和平東建國南路口,17,2,大安區,2023-06-04 09:16:15,和平東路/建國南路口(北側),15,1
120,YouBike2.0_復興南路一段126巷口,15,0,大安區,2023-06-04 09:06:04,復興南路一段126巷1號前,15,1
122,YouBike2.0_仁愛路四段48巷口,11,3,大安區,2023-06-04 08:57:14,仁愛路四段48巷/東豐街(北側),8,1
123,YouBike2.0_捷運公館站(3號出口),90,2,大安區,2023-06-04 09:18:13,捷運公館站(3號出口)西側,88,1
124,YouBike2.0_臺北科技大學(電機工程系),16,1,大安區,2023-06-04 09:05:14,忠孝東路三段100號對側,15,1
125,YouBike2.0_忠孝東路三段217巷口,34,1,大安區,2023-06-04 09:03:14,忠孝東路三段229-1號前,33,1
128,YouBike2.0_捷運大安站(6號出口),19,3,大安區,2023-06-04 09:15:15,復興南路一段303號前,16,1
134,YouBike2.0_和平敦化路口,25,2,大安區,2023-06-04 09:15:04,和平東路三段 / 敦化南路二段口(東側),23,1
137,YouBike2.0_市民敦化路口,15,2,大安區,2023-06-04 08:54:15,敦化南路一段111號前,13,1
138,YouBike2.0_忠孝東路四段49巷口,15,3,大安區,2023-06-04 09:11:16,忠孝東路四段55號前,11,1
139,YouBike2.0_市民復興路口(東南側),16,1,大安區,2023-06-04 09:17:25,市民大道四段/復興路一段口(東南側),15,1
142,YouBike2.0_信義路三段134巷口,19,2,大安區,2023-06-04 09:08:04,信義路三段/信義路三段134巷口,17,1
144,YouBike2.0_臺北遠企購物中心,33,3,大安區,2023-06-04 09:17:25,敦化南路二段201號前,30,1
145,YouBike2.0_外交部外交及國際事務學院,17,1,大安區,2023-06-04 08:41:15,敦化南路一段280號,16,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,0,大安區,2023-06-04 09:17:15,羅斯福路三段201號旁,31,1
151,YouBike2.0_敦化南路二段81巷,40,1,大安區,2023-06-04 08:26:14,敦化南路二段與敦化南路二段81巷口西北側,39,1
157,YouBike2.0_和平東路二段18巷口,24,1,大安區,2023-06-04 09:16:15,辛亥路二段43號前,22,1
159,YouBike2.0_臨江公園,13,3,大安區,2023-06-04 09:15:15,通化街143巷33號對側,10,1
